,110577,189762,250271,324267,353568,405991,516463,519293,542357,953419
pong-1step,FAILED,546609,584366,844234,760108,665023,461178,FAILED,FAILED,972597
pong-1step-double,808923,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,754515,FAILED,FAILED
pong-1step-double-dueling,679194,FAILED,586092,FAILED,859803,FAILED,FAILED,FAILED,740110,531736
pong-1step-double-dueling-srg_0.0001,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
pong-1step-double-dueling-srg_0.0002,728531,FAILED,FAILED,FAILED,FAILED,621447,743435,FAILED,FAILED,FAILED
pong-1step-double-dueling-srg_0.0008,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
pong-1step-double-srg_0.0001,,FAILED,FAILED,FAILED,FAILED,,FAILED,FAILED,FAILED,
pong-1step-double-srg_0.0002,756845,824792,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,697866
pong-1step-double-srg_0.0005,FAILED,FAILED,FAILED,FAILED,FAILED,996301,647091,FAILED,FAILED,FAILED
pong-1step-dueling,593073,441196,573735,989396,480767,529294,FAILED,891380,568719,644041
pong-1step-dueling-srg_0.0001,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
pong-1step-dueling-srg_0.0002,694283,FAILED,544443,554737,FAILED,581660,551608,628103,710175,487395
pong-1step-srg_0.0001,724282,FAILED,FAILED,FAILED,FAILED,976330,FAILED,FAILED,FAILED,FAILED
pong-1step-srg_0.0002,FAILED,FAILED,FAILED,596695,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
pong-1step-srg_0.0005,FAILED,FAILED,FAILED,FAILED,FAILED,545618,FAILED,FAILED,FAILED,810714
pong-1step-srg_0.0008,,FAILED,FAILED,FAILED,,,,,,
pong-2step,436492,466299,506640,330540,456389,494969,378441,373723,509245,511159
pong-2step-double,403644,358504,364469,508347,FAILED,495513,341817,474055,540008,405625
pong-2step-double-dueling,340842,347735,409506,458360,502795,403120,327706,838754,438169,460634
pong-2step-double-dueling-srg_0.0001,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
pong-2step-double-dueling-srg_0.0002,,374662,450359,502482,,,,446732,549411,
pong-2step-double-dueling-srg_0.0008,,FAILED,FAILED,FAILED,,,,FAILED,FAILED,
pong-2step-double-srg_0.0001,FAILED,FAILED,FAILED,FAILED,,FAILED,,FAILED,FAILED,FAILED
pong-2step-double-srg_0.0002,705430,462013,FAILED,413422,FAILED,FAILED,413876,FAILED,401536,426934
pong-2step-dueling,459988,385415,340730,617565,572648,FAILED,337168,393713,431728,474767
pong-2step-dueling-srg_0.0001,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
pong-2step-dueling-srg_0.0002,510191,427861,350122,447857,458902,458667,313021,481552,454368,531517
pong-2step-srg_0.0001,,FAILED,FAILED,FAILED,,,,FAILED,FAILED,
pong-2step-srg_0.0002,500431,360010,FAILED,685870,382266,554895,392037,522673,861297,FAILED
pong-2step-srg_0.0005,567130,291563,FAILED,463000,686870,642466,359430,FAILED,650812,597061
pong-2step-srg_0.0008,FAILED,,,,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
pong-3step,444719,305687,373323,497386,371755,318279,416336,419482,420231,440990
pong-3step-double,396831,402924,325473,457704,492979,446305,360354,472046,465682,403693
pong-3step-double-dueling,303609,410736,317602,339214,307537,507370,326232,383248,416176,414681
pong-3step-double-dueling-srg_0.0001,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
pong-3step-double-dueling-srg_0.0002,317754,307212,426254,322973,587064,590709,310714,552595,314616,307709
pong-3step-double-dueling-srg_0.0008,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
pong-3step-double-srg_0.0001,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
pong-3step-double-srg_0.0002,505396,451869,451914,531414,546753,455013,393001,360594,397716,548278
pong-3step-dueling,455295,330946,354284,354399,463040,452775,387434,391639,288620,379233
pong-3step-dueling-srg_0.0001,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
pong-3step-dueling-srg_0.0002,FAILED,327881,357494,601471,282279,437232,532275,560127,415014,288633
pong-3step-srg_0.0001,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
pong-3step-srg_0.0002,341394,475525,440273,544583,FAILED,340274,390304,516885,FAILED,418061
pong-3step-srg_0.0005,666212,324599,513845,396529,524590,700091,610876,482649,386501,380255
pong-3step-srg_0.0008,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
